Code,Company,Company name,Category,Market,EPS,NTA,PE,DY,ROE,Market capital
7204,D,D&O GREEN TECHNOLOGIES BERHAD,Technology,Main Market,2.86,0.335,101.44,0.34,8.54,3366.20
5819,HLBANK,HONG LEONG BANK BERHAD,Financial Services,Main Market,116.94,13.710,14.90,2.07,8.53,37761.65
0012,3A,THREE-A RESOURCES BERHAD,Consumer Products & Services,Main Market,6.38,0.749,12.54,2.75,8.52,393.60
0228,HPPHB,HPP HOLDINGS BERHAD,Industrial Products & Services,Ace Market,4.11,0.250,16.91,0.00,8.22,269.96
0065,EFORCE,EXCEL FORCE MSC BERHAD,Technology,Main Market,1.40,0.170,31.18,2.30,8.21,267.69
5032,BIPORT,BINTULU PORT HOLDINGS BERHAD,Transportation & Logistics,Main Market,24.32,2.980,17.39,3.31,8.16,1945.80
5141,DAYANG,DAYANG ENTERPRISE HOLDINGS BERHAD,Energy,Main Market,11.56,1.420,10.12,0.00,8.14,1241.71
0069,VIVOCOM,VIVOCOM INTL HOLDINGS BERHAD,Technology,Ace Market,0.65,0.080,155.25,0.00,8.13,577.98
7225,PA,P.A. RESOURCES BERHAD,Industrial Products & Services,Main Market,0.50,0.061,48.24,0.00,8.12,572.81
1066,RHBBANK,RHB BANK BERHAD,Financial Services,Main Market,55.23,6.810,9.41,5.96,8.11,20852.24
5219,PESTECH,PESTECH INTERNATIONAL BERHAD,Industrial Products & Services,Main Market,6.65,0.828,15.93,0.94,8.03,810.15
8303,LOTUS,LOTUS KFM BERHAD,Consumer Products & Services,Main Market,0.64,0.080,39.79,1.96,8.01,208.84
5131,ZHULIAN,ZHULIAN CORPORATION BERHAD,Consumer Products & Services,Main Market,10.17,1.274,17.41,9.60,7.98,814.20
1961,IOICORP,IOI CORPORATION BERHAD,Plantation,Main Market,11.61,1.470,36.52,1.89,7.90,26649.24
5152,MBL,MUAR BAN LEE GROUP BERHAD,Industrial Products & Services,Main Market,5.76,0.730,10.50,0.00,7.89,135.87
5130,ATRIUM,ATRIUM REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,Main Market,10.25,1.299,13.07,4.48,7.89,274.20
7216,KAWAN,KAWAN FOOD BERHAD,Consumer Products & Services,Main Market,7.37,0.940,26.33,1.29,7.84,697.47
5008,HARISON,HARRISONS HOLDINGS (MALAYSIA) BERHAD,Consumer Products & Services,Main Market,36.97,4.740,10.55,5.13,7.80,267.11
7077,KPPROP,KERJAYA PROSPEK PROPERTY BERHAD,Property,Main Market,13.06,1.680,7.54,0.00,7.78,197.14
0222,OPTIMAX,OPTIMAX HOLDINGS BERHAD,Health Care,Ace Market,1.76,0.170,61.93,0.00,7.76,294.30
0196,QES,QES GROUP BERHAD,Industrial Products & Services,Ace Market,1.00,0.130,49.47,0.00,7.70,412.90
0108,N2N,N2N CONNECT BERHAD,Technology,Ace Market,3.68,0.480,20.25,3.36,7.66,445.42
5069,BLDPLNT,BLD PLANTATION BHD.,Plantation,Main Market,48.22,6.330,16.59,0.00,7.62,748.00
8273,PPHB,PUBLIC PACKAGES HOLDINGS BHD,Industrial Products & Services,Main Market,10.51,1.390,9.80,0.24,7.56,194.28
5066,NTPM,NTPM HOLDINGS BERHAD,Consumer Products & Services,Main Market,3.16,0.420,21.02,2.41,7.53,746.93
5908,DKSH,DKSH HOLDINGS (MALAYSIA) BERHAD,Consumer Products & Services,Main Market,31.01,4.134,10.09,0.00,7.50,493.47
0219,RL,RESERVOIR LINK ENERGY BHD,Energy,Ace Market,1.98,0.200,25.72,1.47,7.44,145.35
7235,SUPERLN,SUPERLON HOLDINGS BERHAD,Industrial Products & Services,Main Market,6.23,0.839,13.39,3.65,7.43,133.60
0023,IFCAMSC,IFCA MSC BERHAD,Technology,Ace Market,1.41,0.190,27.64,2.56,7.43,237.23
6963,VS,V.S. INDUSTRY BERHAD,Industrial Products & Services,Main Market,7.11,0.960,40.94,0.89,7.40,5505.08
5289,TECHBND,TECHBOND GROUP BERHAD,Industrial Products & Services,Main Market,4.50,0.610,33.30,0.67,7.38,350.48
0212,SDS,SDS GROUP BERHAD,Consumer Products & Services,Ace Market,1.25,0.170,19.53,0.00,7.38,99.43
0209,ISTONE,I-STONE GROUP BERHAD,Technology,Ace Market,0.44,0.060,56.54,1.00,7.37,305.37
7084,QL,QL RESOURCES BERHAD,Consumer Products & Services,Main Market,9.87,1.340,61.83,0.74,7.36,14845.31
5133,PENERGY,PETRA ENERGY BERHAD,Energy,Main Market,8.62,1.180,10.85,6.42,7.31,300.84
5983,MBMR,MBM RESOURCES BHD,Consumer Products & Services,Main Market,32.76,4.490,9.83,6.83,7.30,1258.66
5293,AME,AME ELITE CONSORTIUM BERHAD,Construction,Main Market,10.85,1.490,19.63,1.41,7.28,909.75
0090,ELSOFT,ELSOFT RESEARCH BERHAD,Technology,Main Market,1.16,0.160,84.24,3.06,7.27,659.92
7091,UNIMECH,UNIMECH GROUP BERHAD,Industrial Products & Services,Main Market,13.15,1.812,12.78,2.68,7.26,253.29
6483,KENANGA,KENANGA INVESTMENT BANK BERHAD,Financial Services,Main Market,9.89,1.370,16.48,1.99,7.22,1178.07
5184,CYPARK,CYPARK RESOURCES BERHAD,Industrial Products & Services,Main Market,14.45,2.010,9.90,0.00,7.19,697.73
5827,OIB,ORIENTAL INTEREST BERHAD,Property,Main Market,22.39,3.120,12.28,2.91,7.18,425.86
